"","X","Date.Rptd","DR.NO","DATE.OCC","TIME.OCC","AREA","AREA.NAME","RD","Crm.Cd","Crm.Cd.Desc","Status","Status.Desc","LOCATION","Cross.Street","Location.1","latlong","lat","long","DateGone","MonthGone","Shade","lat.1","long.1","Shade1"
"31",31,"08/18/2014",140119288,"08/17/2014",1200,1,"Central",111,480,"BIKE - STOLEN","IC","Invest Cont","  800      N  ALAMEDA                      ST","","(34.0563, -118.2374)","34.0563, -118.2374",34.0563,-118.2374,2014-08-17,"August","#FFFFB3",34.0563,-118.2374,"#1F78B4"
"32",32,"08/17/2014",140215965,"08/17/2014",30,2,"Rampart",205,480,"BIKE - STOLEN","IC","Invest Cont","  900         PARKMAN                      AV","","(34.0819, -118.2739)","34.0819, -118.2739",34.0819,-118.2739,2014-08-17,"August","#FFFFB3",34.0819,-118.2739,"#1F78B4"
"33",33,"02/23/2014",140107617,"02/22/2014",1745,1,"Central",171,480,"BIKE - STOLEN","IC","Invest Cont","              CHICK HEARN                  CT","   GEORGIA                      ST","(34.0453, -118.2702)","34.0453, -118.2702",34.0453,-118.2702,2014-02-22,"February","#FB8072",34.0453,-118.2702,"#33A02C"
"34",34,"02/25/2014",140107787,"02/22/2014",1530,1,"Central",118,480,"BIKE - STOLEN","IC","Invest Cont","  900      N  BROADWAY","","(34.064, -118.2375)","34.064, -118.2375",34.064,-118.2375,2014-02-22,"February","#FB8072",34.064,-118.2375,"#33A02C"
"35",35,"03/05/2014",140108253,"02/22/2014",1035,1,"Central",148,480,"BIKE - STOLEN","IC","Invest Cont","  600      E  5TH                          ST","","(34.0435, -118.2427)","34.0435, -118.2427",34.0435,-118.2427,2014-02-22,"February","#FB8072",34.0435,-118.2427,"#33A02C"
"36",36,"02/23/2014",140705944,"02/22/2014",900,7,"Wilshire",723,480,"BIKE - STOLEN","IC","Invest Cont","              FAIRFAX                      AV","   3RD                          ST","(34.0695, -118.3614)","34.0695, -118.3614",34.0695,-118.3614,2014-02-22,"February","#FB8072",34.0695,-118.3614,"#33A02C"
"37",37,"08/20/2014",140119443,"08/16/2014",700,1,"Central",156,480,"BIKE - STOLEN","IC","Invest Cont","  500      S  SAN PEDRO                    ST","","(34.0442, -118.2439)","34.0442, -118.2439",34.0442,-118.2439,2014-08-16,"August","#FFFFB3",34.0442,-118.2439,"#1F78B4"
"38",38,"02/23/2014",142006401,"02/22/2014",1900,20,"Olympic",2002,480,"BIKE - STOLEN","IC","Invest Cont"," 4900         MAPLEWOOD                    AV","","(34.0803, -118.3091)","34.0803, -118.3091",34.0803,-118.3091,2014-02-22,"February","#FB8072",34.0803,-118.3091,"#33A02C"
"39",39,"02/21/2014",140107557,"02/21/2014",1100,1,"Central",135,480,"BIKE - STOLEN","IC","Invest Cont","  300      S  SPRING                       ST","","(34.0503, -118.247)","34.0503, -118.247",34.0503,-118.247,2014-02-21,"February","#FB8072",34.0503,-118.247,"#33A02C"
"40",40,"03/15/2014",141107369,"02/21/2014",1800,11,"Northeast",1116,480,"BIKE - STOLEN","IC","Invest Cont","  800      N  AVENUE 50","","(34.1131, -118.2079)","34.1131, -118.2079",34.1131,-118.2079,2014-02-21,"February","#FB8072",34.1131,-118.2079,"#33A02C"
