"","indegree","outdegree","eigen","isgg","mengg","decgg","ggtot","broadgg"
"241",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"242",0,3,4.76217882540983e-19,0,0,0,0,FALSE
"243",0,4,4.76217882540983e-19,0,0,1,1,TRUE
"244",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"245",1,1,7.52846295341329e-19,0,0,0,0,FALSE
"246",0,1,4.76217882540983e-19,0,0,1,1,TRUE
"247",14,16,0.146595549793505,0,0,0,0,FALSE
"248",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"249",0,1,4.76217882540983e-19,0,1,0,1,TRUE
"250",0,1,4.76217882540983e-19,1,1,0,2,TRUE
"251",0,1,4.76217882540983e-19,0,0,1,1,TRUE
"252",0,1,4.76217882540983e-19,0,0,1,1,TRUE
"253",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"254",0,1,4.76217882540983e-19,1,1,0,2,TRUE
"255",3,4,0.0348913245369305,0,0,0,0,FALSE
"256",0,2,4.76217882540983e-19,1,0,0,1,TRUE
"257",1,1,7.27834324545818e-19,0,0,1,1,TRUE
"258",0,2,4.76217882540983e-19,1,0,0,1,TRUE
"259",0,3,4.76217882540983e-19,0,0,0,0,FALSE
"260",29,0,0.060409948151062,0,0,0,0,FALSE
"261",0,4,4.76217882540983e-19,0,0,0,0,FALSE
"262",0,1,4.76217882540983e-19,0,1,0,1,TRUE
"263",7,4,0.0981229109869439,0,1,0,1,TRUE
"264",0,3,4.76217882540983e-19,0,0,0,0,FALSE
"265",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"266",0,2,4.76217882540983e-19,0,0,0,0,FALSE
"267",0,3,4.76217882540983e-19,1,1,1,3,TRUE
"268",0,2,4.76217882540983e-19,0,0,0,0,FALSE
"269",0,4,4.76217882540983e-19,0,0,0,0,FALSE
"270",8,1,0.0728443688537387,0,0,0,0,FALSE
"271",7,2,0.0728443688537387,0,0,1,1,TRUE
"272",0,3,4.76217882540983e-19,0,0,0,0,FALSE
"273",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"274",0,1,4.76217882540983e-19,0,1,0,1,TRUE
"275",35,5,0.146365380045792,0,0,0,0,FALSE
"276",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"277",0,1,4.76217882540983e-19,0,1,0,1,TRUE
"278",1,1,9.71270005807134e-19,0,0,0,0,FALSE
"279",0,3,4.76217882540983e-19,0,0,0,0,FALSE
"280",0,2,4.76217882540983e-19,1,0,0,1,TRUE
"281",1,0,3.50361936406061e-19,0,0,0,0,FALSE
"282",33,13,0.185270340831716,1,0,1,2,TRUE
"283",0,10,4.76217882540983e-19,1,0,0,1,TRUE
"284",57,4,0.27315245950334,1,1,0,2,TRUE
"285",8,2,0.128785789188204,0,0,0,0,FALSE
"286",29,0,0.163206132977224,0,0,0,0,FALSE
"287",28,0,0.14651272491206,0,0,0,0,FALSE
"288",0,1,4.76217882540983e-19,0,1,0,1,TRUE
"289",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"290",0,3,4.76217882540983e-19,0,0,0,0,FALSE
"291",0,1,4.76217882540983e-19,1,0,0,1,TRUE
"292",0,2,4.76217882540983e-19,0,0,1,1,TRUE
"293",0,3,4.76217882540983e-19,0,0,0,0,FALSE
"294",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"295",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"296",0,1,4.76217882540983e-19,0,1,0,1,TRUE
"297",6,1,0.0794309686979489,0,1,0,1,TRUE
"298",0,1,4.76217882540983e-19,0,1,0,1,TRUE
"299",0,4,4.76217882540983e-19,0,0,0,0,FALSE
"300",0,4,4.76217882540983e-19,0,1,0,1,TRUE
"301",41,6,0.27073990491581,0,1,1,2,TRUE
"302",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"303",6,5,0.0622169774896643,0,0,0,0,FALSE
"304",0,2,4.76217882540983e-19,0,1,0,1,TRUE
"305",0,3,4.76217882540983e-19,0,0,0,0,FALSE
"306",0,2,4.76217882540983e-19,0,0,0,0,FALSE
"307",0,1,4.76217882540983e-19,1,0,0,1,TRUE
"308",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"309",0,1,4.76217882540983e-19,0,1,0,1,TRUE
"310",0,2,4.76217882540983e-19,0,1,0,1,TRUE
"311",0,2,4.76217882540983e-19,0,0,0,0,FALSE
"312",16,15,0.151564235046654,0,0,0,0,FALSE
"313",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"314",1,1,1.15733862207555e-18,0,0,0,0,FALSE
"315",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"316",0,3,4.76217882540983e-19,0,0,0,0,FALSE
"317",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"318",0,1,4.76217882540983e-19,0,1,1,2,TRUE
"319",1,9,1.08912395264868e-18,0,0,0,0,FALSE
"320",0,4,4.76217882540983e-19,0,0,1,1,TRUE
"321",0,2,4.76217882540983e-19,0,0,0,0,FALSE
"322",1,2,6.13588530878157e-19,0,0,0,0,FALSE
"323",0,4,4.76217882540983e-19,0,0,0,0,FALSE
"324",6,0,0.101956286039831,0,0,0,0,FALSE
"325",7,2,0.0993332292260841,0,0,0,0,FALSE
"326",0,2,4.76217882540983e-19,0,0,0,0,FALSE
"327",0,6,4.76217882540983e-19,0,0,0,0,FALSE
"328",0,2,4.76217882540983e-19,0,1,0,1,TRUE
"329",0,3,4.76217882540983e-19,0,0,0,0,FALSE
"330",0,1,4.76217882540983e-19,0,1,0,1,TRUE
"331",0,2,4.76217882540983e-19,1,0,0,1,TRUE
"332",8,2,0.0629473537711656,0,0,0,0,FALSE
"333",0,1,4.76217882540983e-19,0,1,0,1,TRUE
"334",0,2,4.76217882540983e-19,1,0,0,1,TRUE
"335",0,4,4.76217882540983e-19,0,0,0,0,FALSE
"336",5,9,0.0889335946067252,0,1,0,1,TRUE
"337",0,4,4.76217882540983e-19,0,1,1,2,TRUE
"338",8,4,0.0652295209593384,0,0,1,1,TRUE
"339",1,1,1.0821102976069e-18,0,1,1,2,TRUE
"340",0,1,4.76217882540983e-19,1,0,0,1,TRUE
"341",0,1,4.76217882540983e-19,0,1,0,1,TRUE
"342",0,1,4.76217882540983e-19,0,1,0,1,TRUE
"343",0,2,4.76217882540983e-19,0,0,0,0,FALSE
"344",0,4,4.76217882540983e-19,0,1,0,1,TRUE
"345",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"346",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"347",1,2,0.0166398070184707,0,0,0,0,FALSE
"348",2,2,0.018691942288995,0,0,0,0,FALSE
"349",2,1,0.0186919422889949,0,0,0,0,FALSE
"350",2,1,0.0186919422889949,0,1,0,1,TRUE
"351",0,1,4.76217882540983e-19,0,1,0,1,TRUE
"352",0,3,4.76217882540983e-19,0,1,1,2,TRUE
"353",0,4,4.76217882540983e-19,0,0,0,0,FALSE
"354",27,4,0.182924763565096,0,0,0,0,FALSE
"355",0,2,4.76217882540983e-19,0,1,0,1,TRUE
"356",0,4,4.76217882540983e-19,0,0,0,0,FALSE
"357",0,2,4.76217882540983e-19,0,1,1,2,TRUE
"358",1,1,9.36457017914522e-21,0,0,0,0,FALSE
"359",0,6,4.76217882540983e-19,1,0,0,1,TRUE
"360",0,1,4.76217882540983e-19,0,0,1,1,TRUE
"361",0,2,4.76217882540983e-19,0,0,0,0,FALSE
"362",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"363",0,1,4.76217882540983e-19,0,1,0,1,TRUE
"364",0,2,4.76217882540983e-19,0,0,0,0,FALSE
"365",1,3,1.12624033928034e-18,0,0,0,0,FALSE
"366",2,0,2.58114643283924e-18,1,0,0,1,TRUE
"367",1,3,1.07221568760401e-18,0,0,0,0,FALSE
"368",0,1,4.76217882540983e-19,0,1,1,2,TRUE
"369",0,1,4.76217882540983e-19,0,1,0,1,TRUE
"370",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"371",0,1,4.76217882540983e-19,0,1,0,1,TRUE
"372",0,1,4.76217882540983e-19,0,1,0,1,TRUE
"373",0,1,4.76217882540983e-19,0,1,0,1,TRUE
"374",0,1,4.76217882540983e-19,0,1,0,1,TRUE
"375",0,2,4.76217882540983e-19,0,0,0,0,FALSE
"376",0,2,4.76217882540983e-19,0,0,0,0,FALSE
"377",32,3,0.14970418129332,1,1,0,2,TRUE
"378",0,1,4.76217882540983e-19,1,1,1,3,TRUE
"379",0,1,4.76217882540983e-19,0,1,1,2,TRUE
"380",0,5,4.76217882540983e-19,0,0,1,1,TRUE
"381",0,2,4.76217882540983e-19,0,0,1,1,TRUE
"382",0,3,4.76217882540983e-19,0,0,0,0,FALSE
"383",1,1,6.86010508063858e-19,0,1,0,1,TRUE
"384",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"385",0,2,4.76217882540983e-19,0,1,0,1,TRUE
"386",0,2,4.76217882540983e-19,0,0,0,0,FALSE
"387",0,4,4.76217882540983e-19,0,0,1,1,TRUE
"388",1,3,1.24238566896592e-18,0,0,0,0,FALSE
"389",0,11,4.76217882540983e-19,0,0,0,0,FALSE
"390",4,0,0.0387483323467489,0,0,0,0,FALSE
"391",0,2,4.76217882540983e-19,0,1,0,1,TRUE
"392",1,1,9.89295626157889e-19,0,0,0,0,FALSE
"393",1,1,6.43056323928795e-19,0,0,0,0,FALSE
"394",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"395",0,1,4.76217882540983e-19,0,1,0,1,TRUE
"396",1,1,9.21143991953042e-19,0,0,0,0,FALSE
"397",0,2,4.76217882540983e-19,0,0,0,0,FALSE
"398",0,3,4.76217882540983e-19,0,0,0,0,FALSE
"399",0,2,4.76217882540983e-19,0,1,0,1,TRUE
"400",0,3,4.76217882540983e-19,0,0,1,1,TRUE
"401",0,1,4.76217882540983e-19,1,0,1,2,TRUE
"402",2,1,0.0147608167562902,1,0,0,1,TRUE
"403",6,33,0.119688573062209,0,0,0,0,FALSE
"404",0,7,4.76217882540983e-19,0,1,0,1,TRUE
"405",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"406",0,5,4.76217882540983e-19,0,0,1,1,TRUE
"407",0,2,4.76217882540983e-19,0,1,0,1,TRUE
"408",26,8,0.163807290073033,0,0,0,0,FALSE
"409",1,1,5.89567524968943e-19,0,0,0,0,FALSE
"410",0,1,4.76217882540983e-19,0,1,1,2,TRUE
"411",0,2,4.76217882540983e-19,1,1,0,2,TRUE
"412",1,5,3.73233522772945e-19,0,0,0,0,FALSE
"413",19,18,0.119534387753142,1,1,0,2,TRUE
"414",1,1,9.46244702688861e-19,0,0,0,0,FALSE
"415",1,1,7.2076664693221e-19,1,1,0,2,TRUE
"416",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"417",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"418",0,2,4.76217882540983e-19,0,1,0,1,TRUE
"419",0,1,4.76217882540983e-19,0,1,0,1,TRUE
"420",1,1,3.64065631019193e-19,0,0,0,0,FALSE
"421",0,4,4.76217882540983e-19,0,1,0,1,TRUE
"422",45,4,0.155660001638276,0,0,0,0,FALSE
"423",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"424",0,6,4.76217882540983e-19,1,0,0,1,TRUE
"425",0,2,4.76217882540983e-19,0,1,0,1,TRUE
"426",8,20,0.0742703623649533,1,0,0,1,TRUE
"427",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"428",0,3,4.76217882540983e-19,1,0,0,1,TRUE
"429",1,1,1.14733991329652e-18,0,0,0,0,FALSE
"430",0,2,4.76217882540983e-19,0,0,0,0,FALSE
"431",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"432",0,5,4.76217882540983e-19,0,0,1,1,TRUE
"433",0,1,4.76217882540983e-19,0,1,0,1,TRUE
"434",1,1,5.51540540692602e-19,0,0,0,0,FALSE
"435",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"436",0,1,4.76217882540983e-19,0,0,1,1,TRUE
"437",0,3,4.76217882540983e-19,0,0,1,1,TRUE
"438",2,3,0.00907813457366407,0,0,0,0,FALSE
"439",1,0,0.000996662618638089,0,0,0,0,FALSE
"440",0,1,4.76217882540983e-19,0,1,0,1,TRUE
"441",0,2,4.76217882540983e-19,0,0,0,0,FALSE
"442",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"443",5,1,0.0791573498364788,0,0,1,1,TRUE
"444",0,2,4.76217882540983e-19,0,1,1,2,TRUE
"445",24,10,0.132020646812997,0,0,1,1,TRUE
"446",0,1,4.76217882540983e-19,0,1,0,1,TRUE
"447",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"448",0,3,4.76217882540983e-19,0,1,0,1,TRUE
"449",1,1,9.31854806755462e-19,0,0,0,0,FALSE
"450",0,1,4.76217882540983e-19,0,1,0,1,TRUE
"451",9,14,0.108245295464763,1,0,1,2,TRUE
"452",0,3,4.76217882540983e-19,0,1,0,1,TRUE
"453",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"454",0,9,4.76217882540983e-19,1,1,0,2,TRUE
"455",0,1,4.76217882540983e-19,0,0,0,0,FALSE
"456",0,5,4.76217882540983e-19,0,1,0,1,TRUE
